#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.6469009938316E-08  0.5598055797865E-08  0.6330733808817E-08  0.7063411819769E-08
   2  0.1068582529596E-05  0.1037787088343E-05  0.1077645445016E-05  0.1117503801689E-05
   3  0.2293576810046E-05  0.2247086924385E-05  0.2308605482473E-05  0.2370124040560E-05
   4  0.1858060089776E-05  0.1824220441741E-05  0.1867485567473E-05  0.1910750693205E-05
   5  0.5928035603982E-06  0.5783393401998E-06  0.5941850422829E-06  0.6100307443661E-06
   6  0.2476951800000E-06  0.2371891222062E-06  0.2492105280853E-06  0.2612319339645E-06
   7  0.9782637066986E-06  0.9492978478405E-06  0.9836194171610E-06  0.1017940986482E-05
   8  0.1456941381801E-05  0.1411282013880E-05  0.1459923160285E-05  0.1508564306690E-05
   9  0.9477572268610E-06  0.9009437498105E-06  0.9465759651222E-06  0.9922081804338E-06
  10  0.2594882935386E-06  0.2351331632470E-06  0.2585015724063E-06  0.2818699815655E-06
  11  0.3208364477571E-06  0.2995686922950E-06  0.3224431928970E-06  0.3453176934990E-06
  12  0.7992061630350E-06  0.7533637079558E-06  0.7990075572078E-06  0.8446514064598E-06
  13  0.1030069015788E-05  0.9669604777024E-06  0.1024945889456E-05  0.1082931301209E-05
  14  0.1149064364375E-05  0.1079679994839E-05  0.1147464217969E-05  0.1215248441099E-05
  15  0.1238714636223E-05  0.1179383201411E-05  0.1245894078048E-05  0.1312404954684E-05
  16  0.9152538083463E-06  0.8650517660808E-06  0.9193752443964E-06  0.9736987227119E-06
  17  0.4585237949820E-06  0.4094302874244E-06  0.4507429175528E-06  0.4920555476811E-06
  18  0.5529149301554E-06  0.4930855637454E-06  0.5442788150890E-06  0.5954720664327E-06
  19  0.9453966169014E-06  0.8804717417320E-06  0.9450889636456E-06  0.1009706185559E-05
  20  0.1006113698616E-05  0.9373286454604E-06  0.1005040766928E-05  0.1072752888396E-05
  21  0.8553053290920E-06  0.7770970073063E-06  0.8427841205019E-06  0.9084712336976E-06
  22  0.7855051905755E-06  0.6943784360596E-06  0.7646960393196E-06  0.8350136425796E-06
  23  0.6543285347764E-06  0.5661138527071E-06  0.6348828307660E-06  0.7036518088250E-06
  24  0.4735628651003E-06  0.3981494131178E-06  0.4573363960468E-06  0.5165233789759E-06
  25  0.5554065236029E-06  0.4689360353449E-06  0.5337122373007E-06  0.5984884392565E-06
  26  0.8281016302655E-06  0.7140546175694E-06  0.7979890139061E-06  0.8819234102428E-06
  27  0.8715724553520E-06  0.7548340351449E-06  0.8391647830172E-06  0.9234955308896E-06
  28  0.6714063233346E-06  0.5694337787667E-06  0.6406533005588E-06  0.7118728223509E-06
  29  0.6195760873530E-06  0.5075485496408E-06  0.5825692009829E-06  0.6575898523249E-06
  30  0.7917620876376E-06  0.6522960453047E-06  0.7480245765088E-06  0.8437531077129E-06
  31  0.8605291839063E-06  0.7146245267208E-06  0.8148975166912E-06  0.9151705066617E-06
  32  0.7346933848268E-06  0.6079650451053E-06  0.6916350504796E-06  0.7753050558540E-06
  33  0.7053413642797E-06  0.5739645082253E-06  0.6539774803667E-06  0.7339904525081E-06
  34  0.8772487287993E-06  0.7133649593226E-06  0.8121322912241E-06  0.9108996231257E-06
  35  0.9794433405729E-06  0.8013761233045E-06  0.9097137326281E-06  0.1018051341952E-05
  36  0.8665309076204E-06  0.6975921000455E-06  0.7990850724449E-06  0.9005780448443E-06
  37  0.7691690158458E-06  0.5984879374052E-06  0.6958234972094E-06  0.7931590570135E-06
  38  0.8828451794792E-06  0.6848395070187E-06  0.7922946311481E-06  0.8997497552775E-06
  39  0.1053504947490E-05  0.8387343424851E-06  0.9569380471232E-06  0.1075141751761E-05
