#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.9126605834106E-05  0.9055881300257E-05  0.9125305916617E-05  0.9194730532978E-05
   2  0.1907452047001E-04  0.1890840933703E-04  0.1907796890838E-04  0.1924752847973E-04
   3  0.1874170135874E-04  0.1857051309666E-04  0.1875433009707E-04  0.1893814709748E-04
   4  0.7488001950284E-05  0.7397832917301E-05  0.7496545782068E-05  0.7595258646835E-05
   5  0.1921622549361E-06  0.1837893130224E-06  0.1919996141050E-06  0.2002099151876E-06
   6  0.3914491668921E-05  0.3865229875131E-05  0.3926572942026E-05  0.3987916008921E-05
   7  0.9612453975595E-05  0.9531564771993E-05  0.9641709577070E-05  0.9751854382148E-05
   8  0.8585477144045E-05  0.8486288108468E-05  0.8604629833575E-05  0.8722971558683E-05
   9  0.3335833299172E-05  0.3246304678704E-05  0.3336655730945E-05  0.3427006783186E-05
  10  0.5837919707222E-06  0.5511885641024E-06  0.5862837657255E-06  0.6213789673487E-06
  11  0.2298176472471E-05  0.2250612316839E-05  0.2320475919259E-05  0.2390339521679E-05
  12  0.5079727887766E-05  0.4996563644405E-05  0.5114059058179E-05  0.5231554471953E-05
  13  0.5282653337248E-05  0.5174834386695E-05  0.5311727074163E-05  0.5448619761631E-05
  14  0.3463119081777E-05  0.3364139210112E-05  0.3481226465152E-05  0.3598313720191E-05
  15  0.2318691092019E-05  0.2244049859287E-05  0.2333228028448E-05  0.2422406197608E-05
  16  0.2140985250442E-05  0.2067729945982E-05  0.2153181203321E-05  0.2238632460659E-05
  17  0.1897623427374E-05  0.1819554143372E-05  0.1905179310648E-05  0.1990804477924E-05
  18  0.1984679050224E-05  0.1911084294116E-05  0.1993909185177E-05  0.2076734076237E-05
  19  0.2560280093028E-05  0.2471172480617E-05  0.2577600135642E-05  0.2684027790668E-05
  20  0.2617656027915E-05  0.2523794439931E-05  0.2637409171996E-05  0.2751023904061E-05
