#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.6469009938316E-08  0.5561608574756E-08  0.6286992515144E-08  0.7012376455532E-08
   2  0.1068582529596E-05  0.1040517714101E-05  0.1080897159363E-05  0.1121276604626E-05
   3  0.2293576810046E-05  0.2251441504144E-05  0.2313734453134E-05  0.2376027402124E-05
   4  0.1858060089776E-05  0.1826662941380E-05  0.1870122079334E-05  0.1913581217289E-05
   5  0.5928035603982E-06  0.5788199520568E-06  0.5945036048143E-06  0.6101872575718E-06
   6  0.2476951800000E-06  0.2373792152969E-06  0.2508341326763E-06  0.2642890500557E-06
   7  0.9782637066986E-06  0.9504240615551E-06  0.9850563638271E-06  0.1019688666099E-05
   8  0.1456941381801E-05  0.1412664257160E-05  0.1461434219745E-05  0.1510204182330E-05
   9  0.9477572268610E-06  0.8994502296666E-06  0.9452937266297E-06  0.9911372235928E-06
  10  0.2594882935386E-06  0.2342061755387E-06  0.2577779814315E-06  0.2813497873244E-06
  11  0.3208364477571E-06  0.3003332206386E-06  0.3233975698456E-06  0.3464619190526E-06
  12  0.7992061630350E-06  0.7540646182393E-06  0.8000627995173E-06  0.8460609807953E-06
  13  0.1030069015788E-05  0.9633355595710E-06  0.1022616212903E-05  0.1081896866235E-05
  14  0.1149064364375E-05  0.1074408111743E-05  0.1143370565592E-05  0.1212333019441E-05
  15  0.1238714636223E-05  0.1176714337405E-05  0.1242433582646E-05  0.1308152827886E-05
  16  0.9152538083463E-06  0.8634746374789E-06  0.9183408602212E-06  0.9732070829636E-06
  17  0.4585237949820E-06  0.4099926862268E-06  0.4517612468089E-06  0.4935298073910E-06
  18  0.5529149301554E-06  0.4913988656356E-06  0.5436846461216E-06  0.5959704266076E-06
  19  0.9453966169014E-06  0.8765764905799E-06  0.9412920689048E-06  0.1006007647230E-05
  20  0.1006113698616E-05  0.9343210155738E-06  0.1002436505566E-05  0.1070551995557E-05
  21  0.8553053290920E-06  0.7808453952117E-06  0.8472114057959E-06  0.9135774163801E-06
  22  0.7855051905755E-06  0.6981938050810E-06  0.7694408172675E-06  0.8406878294539E-06
  23  0.6543285347764E-06  0.5657593921979E-06  0.6351454025621E-06  0.7045314129264E-06
  24  0.4735628651003E-06  0.3978539207502E-06  0.4576683054637E-06  0.5174826901772E-06
  25  0.5554065236029E-06  0.4750824234136E-06  0.5391579974543E-06  0.6032335714950E-06
  26  0.8281016302655E-06  0.7215638313918E-06  0.8052381940105E-06  0.8889125566291E-06
  27  0.8715724553520E-06  0.7581320628688E-06  0.8435058177122E-06  0.9288795725556E-06
  28  0.6714063233346E-06  0.5706703535974E-06  0.6429661508642E-06  0.7152619481310E-06
  29  0.6195760873530E-06  0.5119114542000E-06  0.5873449061891E-06  0.6627783581782E-06
  30  0.7917620876376E-06  0.6590844081999E-06  0.7537409764799E-06  0.8483975447599E-06
  31  0.8605291839063E-06  0.7197054873571E-06  0.8199108818181E-06  0.9201162762792E-06
  32  0.7346933848268E-06  0.6060435225439E-06  0.6920046252114E-06  0.7779657278790E-06
  33  0.7053413642797E-06  0.5811103091005E-06  0.6623755668408E-06  0.7436408245810E-06
  34  0.8772487287993E-06  0.7206165840470E-06  0.8193307516177E-06  0.9180449191884E-06
  35  0.9794433405729E-06  0.8065307132682E-06  0.9145631365326E-06  0.1022595559797E-05
  36  0.8665309076204E-06  0.6985473531463E-06  0.8013953183081E-06  0.9042432834699E-06
  37  0.7691690158458E-06  0.6070894430037E-06  0.7062021158827E-06  0.8053147887616E-06
  38  0.8828451794792E-06  0.6969602003044E-06  0.8052572230851E-06  0.9135542458658E-06
  39  0.1053504947490E-05  0.8509448345654E-06  0.9684291451790E-06  0.1085913455792E-05
  40  0.1064153654480E-05  0.8668208716090E-06  0.9860639986952E-06  0.1105307125781E-05
  41  0.9773871768931E-06  0.7799303972275E-06  0.8958855083780E-06  0.1011840619528E-05
  42  0.9785237592421E-06  0.7698308253159E-06  0.8891994572229E-06  0.1008568089130E-05
  43  0.1061763476139E-05  0.8474200519190E-06  0.9709069444338E-06  0.1094393836949E-05
  44  0.1096307332135E-05  0.8759135596634E-06  0.1003659532273E-05  0.1131405504882E-05
  45  0.1072490746866E-05  0.8548283253995E-06  0.9864796300305E-06  0.1118130934662E-05
  46  0.1077900528310E-05  0.8598006598554E-06  0.9955905462223E-06  0.1131380432589E-05
  47  0.1131584572211E-05  0.9358316325923E-06  0.1070605365774E-05  0.1205379098957E-05
  48  0.1199671958078E-05  0.9747286833463E-06  0.1118718530547E-05  0.1262708377748E-05
  49  0.1278298489781E-05  0.9983656148353E-06  0.1158635409769E-05  0.1318905204702E-05
  50  0.1353945657911E-05  0.1108792688313E-05  0.1276714401462E-05  0.1444636114612E-05
  51  0.1386582607212E-05  0.1134847643547E-05  0.1298324242213E-05  0.1461800840879E-05
  52  0.1397102252258E-05  0.1164663938546E-05  0.1330502164250E-05  0.1496340389955E-05
  53  0.1455318304346E-05  0.1185059158801E-05  0.1358917112226E-05  0.1532775065651E-05
  54  0.1553050637736E-05  0.1376124204372E-05  0.1572374917785E-05  0.1768625631197E-05
  55  0.1615044765865E-05  0.1390418789990E-05  0.1581180675890E-05  0.1771942561789E-05
  56  0.1630278478523E-05  0.1408285917022E-05  0.1598799538924E-05  0.1789313160826E-05
  57  0.1647055195095E-05  0.1425266248711E-05  0.1610420606148E-05  0.1795574963584E-05
  58  0.1677246491125E-05  0.1465449948281E-05  0.1660000221121E-05  0.1854550493961E-05
  59  0.1719682963732E-05  0.1482274239520E-05  0.1687222376773E-05  0.1892170514026E-05
  60  0.1800252967870E-05  0.1566710047715E-05  0.1774136278983E-05  0.1981562510250E-05
  61  0.1886304156395E-05  0.1616748240260E-05  0.1825933321999E-05  0.2035118403738E-05
  62  0.1885369124665E-05  0.1624202784120E-05  0.1833305936457E-05  0.2042409088794E-05
  63  0.1830551589144E-05  0.1563709460559E-05  0.1772960459834E-05  0.1982211459109E-05
  64  0.1890068130937E-05  0.1608011265843E-05  0.1823005278191E-05  0.2037999290539E-05
  65  0.2075800561212E-05  0.1778418092625E-05  0.2006504441992E-05  0.2234590791360E-05
  66  0.2176558121982E-05  0.1846123738244E-05  0.2082318837384E-05  0.2318513936523E-05
  67  0.2119906580832E-05  0.1828122826423E-05  0.2064845921337E-05  0.2301569016251E-05
  68  0.2108798678428E-05  0.1802145061078E-05  0.2030193502739E-05  0.2258241944400E-05
  69  0.2244279097219E-05  0.1899494136452E-05  0.2138447903755E-05  0.2377401671058E-05
  70  0.2352834619525E-05  0.2004734680459E-05  0.2253355608703E-05  0.2501976536947E-05
  71  0.2345260053520E-05  0.2046767288002E-05  0.2306986001664E-05  0.2567204715325E-05
  72  0.2378163103767E-05  0.2046373394911E-05  0.2307710394498E-05  0.2569047394086E-05
  73  0.2511659686444E-05  0.2149642111179E-05  0.2418686920802E-05  0.2687731730424E-05
  74  0.2579001193047E-05  0.2206511012286E-05  0.2484663900226E-05  0.2762816788166E-05
  75  0.2531733267792E-05  0.2166259251653E-05  0.2437512070752E-05  0.2708764889852E-05
  76  0.2557893567125E-05  0.2191139406139E-05  0.2458629570927E-05  0.2726119735715E-05
  77  0.2723554826331E-05  0.2315400050123E-05  0.2588149433618E-05  0.2860898817112E-05
  78  0.2824378125475E-05  0.2415272409481E-05  0.2697128343078E-05  0.2978984276676E-05
  79  0.2741632224000E-05  0.2361374522022E-05  0.2642551456612E-05  0.2923728391202E-05
  80  0.2660296732123E-05  0.2286528636190E-05  0.2563149094145E-05  0.2839769552099E-05
  81  0.2762681488284E-05  0.2350633812838E-05  0.2629703124190E-05  0.2908772435541E-05
  82  0.2937462670088E-05  0.2493939328742E-05  0.2787684126961E-05  0.3081428925180E-05
  83  0.2981775697010E-05  0.2542988321637E-05  0.2842857794892E-05  0.3142727268147E-05
  84  0.2919175802589E-05  0.2497915113822E-05  0.2794822333873E-05  0.3091729553923E-05
  85  0.2918514983550E-05  0.2485865662235E-05  0.2782544580748E-05  0.3079223499262E-05
  86  0.3006289311370E-05  0.2538506842821E-05  0.2842895288636E-05  0.3147283734450E-05
  87  0.3055199417762E-05  0.2592871246128E-05  0.2906530367695E-05  0.3220189489261E-05
  88  0.3013322181279E-05  0.2590334397751E-05  0.2905843807642E-05  0.3221353217533E-05
  89  0.2970557700715E-05  0.2570565224359E-05  0.2882099252928E-05  0.3193633281497E-05
  90  0.2993526388348E-05  0.2584033972672E-05  0.2892871349711E-05  0.3201708726750E-05
  91  0.3034849721524E-05  0.2626142138624E-05  0.2932309174724E-05  0.3238476210824E-05
  92  0.3034719769006E-05  0.2651146347243E-05  0.2956274830290E-05  0.3261403313336E-05
  93  0.3008031972433E-05  0.2641339197911E-05  0.2947595084817E-05  0.3253850971722E-05
  94  0.2995987237425E-05  0.2627929183243E-05  0.2939643089929E-05  0.3251356996616E-05
  95  0.3004315208188E-05  0.2634939814417E-05  0.2948342120525E-05  0.3261744426632E-05
  96  0.3018534903361E-05  0.2656759741109E-05  0.2970274468123E-05  0.3283789195137E-05
  97  0.3033509054890E-05  0.2676230874847E-05  0.2988204394836E-05  0.3300177914825E-05
  98  0.3046267805115E-05  0.2696242671681E-05  0.3011030215815E-05  0.3325817759949E-05
  99  0.3048323092042E-05  0.2675718628943E-05  0.2994707171371E-05  0.3313695713798E-05
 100  0.3041125052805E-05  0.2671075451966E-05  0.2990896031554E-05  0.3310716611143E-05
 101  0.3040360940694E-05  0.2684425500573E-05  0.3000437703261E-05  0.3316449905949E-05
 102  0.3049506483714E-05  0.2698886306573E-05  0.3016870167881E-05  0.3334854029190E-05
 103  0.3045917176239E-05  0.2688972827381E-05  0.3011420265169E-05  0.3333867702957E-05
 104  0.3015561724446E-05  0.2663402766070E-05  0.2981793015053E-05  0.3300183264035E-05
 105  0.2981521555575E-05  0.2651873721008E-05  0.2966525309863E-05  0.3281176898719E-05
 106  0.2972987132610E-05  0.2660844849431E-05  0.2972087145224E-05  0.3283329441017E-05
 107  0.2976553672681E-05  0.2651451262617E-05  0.2962861857593E-05  0.3274272452568E-05
 108  0.2956708158884E-05  0.2620808203687E-05  0.2929863924516E-05  0.3238919645345E-05
 109  0.2914395932702E-05  0.2589571626550E-05  0.2891509429042E-05  0.3193447231535E-05
 110  0.2883538568316E-05  0.2566360383282E-05  0.2865839674868E-05  0.3165318966454E-05
 111  0.2872973148252E-05  0.2561566542471E-05  0.2862029746644E-05  0.3162492950818E-05
 112  0.2854569528407E-05  0.2551888908263E-05  0.2853670832472E-05  0.3155452756680E-05
 113  0.2817244793740E-05  0.2511444407744E-05  0.2812648602336E-05  0.3113852796928E-05
 114  0.2779520521141E-05  0.2486218119829E-05  0.2781537842503E-05  0.3076857565177E-05
 115  0.2749820571130E-05  0.2468878494953E-05  0.2757421149869E-05  0.3045963804786E-05
 116  0.2715347011510E-05  0.2430396490621E-05  0.2714386775154E-05  0.2998377059687E-05
 117  0.2678853907341E-05  0.2394200567256E-05  0.2677242427307E-05  0.2960284287357E-05
 118  0.2654080104962E-05  0.2374148417485E-05  0.2656053890407E-05  0.2937959363329E-05
 119  0.2634235720489E-05  0.2358256726025E-05  0.2634689828431E-05  0.2911122930837E-05
 120  0.2600839632392E-05  0.2349280934750E-05  0.2623392096166E-05  0.2897503257581E-05
 121  0.2573307323019E-05  0.2376919129257E-05  0.2654381554500E-05  0.2931843979742E-05
 122  0.2534954756703E-05  0.2346336567335E-05  0.2617181367438E-05  0.2888026167541E-05
 123  0.2498451744937E-05  0.2324128274366E-05  0.2590895865345E-05  0.2857663456324E-05
 124  0.2452550273344E-05  0.2284802639537E-05  0.2547114397756E-05  0.2809426155974E-05
 125  0.2405223926972E-05  0.2239819227612E-05  0.2499186427306E-05  0.2758553627000E-05
 126  0.2364511855020E-05  0.2199801961305E-05  0.2456092485610E-05  0.2712383009916E-05
 127  0.2327349482427E-05  0.2177584185175E-05  0.2432937695103E-05  0.2688291205031E-05
 128  0.2291770468188E-05  0.2160445369199E-05  0.2414154656960E-05  0.2667863944721E-05
 129  0.2258080800489E-05  0.2123790551175E-05  0.2374254123180E-05  0.2624717695185E-05
 130  0.2221964410375E-05  0.2088544319494E-05  0.2332399998281E-05  0.2576255677068E-05
 131  0.2183270232840E-05  0.2067651031342E-05  0.2312611758585E-05  0.2557572485828E-05
 132  0.2151175540662E-05  0.2033632782155E-05  0.2272936171863E-05  0.2512239561572E-05
 133  0.2126768499206E-05  0.2016364697736E-05  0.2255790942827E-05  0.2495217187918E-05
 134  0.2099129305929E-05  0.1989672698059E-05  0.2225209425823E-05  0.2460746153587E-05
 135  0.2064448014968E-05  0.1964365495689E-05  0.2194433690674E-05  0.2424501885659E-05
 136  0.2031537127001E-05  0.1932533465333E-05  0.2157772310191E-05  0.2383011155048E-05
 137  0.2005820404832E-05  0.1910624778733E-05  0.2136883271338E-05  0.2363141763944E-05
 138  0.1981550520288E-05  0.1887149930558E-05  0.2102737048827E-05  0.2318324167097E-05
 139  0.1952726398309E-05  0.1859235598082E-05  0.2075016965836E-05  0.2290798333590E-05
 140  0.1920846069324E-05  0.1831336685663E-05  0.2045139191715E-05  0.2258941697768E-05
 141  0.1890997594003E-05  0.1809499224074E-05  0.2021884090266E-05  0.2234268956458E-05
 142  0.1865787947103E-05  0.1780406063895E-05  0.1984114375880E-05  0.2187822687865E-05
 143  0.1843985506321E-05  0.1768218311810E-05  0.1975286596752E-05  0.2182354881694E-05
 144  0.1822893558198E-05  0.1760786659683E-05  0.1969144767919E-05  0.2177502876155E-05
 145  0.1801140232008E-05  0.1731875662485E-05  0.1936732531264E-05  0.2141589400044E-05
 146  0.1778094256065E-05  0.1720017312655E-05  0.1928775223971E-05  0.2137533135287E-05
 147  0.1751908393939E-05  0.1687034833643E-05  0.1881354567103E-05  0.2075674300563E-05
 148  0.1722143147973E-05  0.1660997959244E-05  0.1852677995830E-05  0.2044358032417E-05
 149  0.1693974475704E-05  0.1652197372748E-05  0.1850385992330E-05  0.2048574611912E-05
 150  0.1673269817083E-05  0.1629382538706E-05  0.1830824352538E-05  0.2032266166370E-05
 151  0.1656454157763E-05  0.1617464187186E-05  0.1817866002353E-05  0.2018267817520E-05
 152  0.1635563374248E-05  0.1605658017759E-05  0.1807798686924E-05  0.2009939356089E-05
 153  0.1610590721440E-05  0.1589339729436E-05  0.1790604732500E-05  0.1991869735564E-05
 154  0.1588525872213E-05  0.1560115442206E-05  0.1752561226184E-05  0.1945007010161E-05
 155  0.1570981346338E-05  0.1543018150012E-05  0.1732202761630E-05  0.1921387373248E-05
 156  0.1552804901148E-05  0.1547728036884E-05  0.1741634080808E-05  0.1935540124731E-05
 157  0.1531814375872E-05  0.1513192324454E-05  0.1699035611081E-05  0.1884878897707E-05
 158  0.1511645423371E-05  0.1489538511528E-05  0.1668943896471E-05  0.1848349281414E-05
 159  0.1494825718743E-05  0.1486510947599E-05  0.1683563338506E-05  0.1880615729412E-05
 160  0.1480197191780E-05  0.1473479673318E-05  0.1655876074407E-05  0.1838272475497E-05
 161  0.1465441798806E-05  0.1473404471111E-05  0.1661099708987E-05  0.1848794946864E-05
 162  0.1448254473871E-05  0.1441390561742E-05  0.1633957145042E-05  0.1826523728343E-05
 163  0.1426711086961E-05  0.1442840776483E-05  0.1630347580245E-05  0.1817854384008E-05
 164  0.1403601580936E-05  0.1421513442575E-05  0.1614551560584E-05  0.1807589678594E-05
 165  0.1386420206537E-05  0.1415685234203E-05  0.1605363217022E-05  0.1795041199841E-05
 166  0.1377056569711E-05  0.1402224360145E-05  0.1581780760763E-05  0.1761337161382E-05
 167  0.1366411084321E-05  0.1390566210440E-05  0.1580867907446E-05  0.1771169604452E-05
 168  0.1346486894695E-05  0.1371514466798E-05  0.1546493412896E-05  0.1721472358993E-05
 169  0.1322745183615E-05  0.1346896211648E-05  0.1526085494274E-05  0.1705274776900E-05
 170  0.1305959147602E-05  0.1356234869570E-05  0.1557318350284E-05  0.1758401830998E-05
 171  0.1296674653778E-05  0.1349215137467E-05  0.1544470958085E-05  0.1739726778702E-05
 172  0.1285745882883E-05  0.1323028572738E-05  0.1512652757539E-05  0.1702276942340E-05
 173  0.1267475229023E-05  0.1315516778991E-05  0.1505156563853E-05  0.1694796348715E-05
 174  0.1246051250379E-05  0.1302550130348E-05  0.1498854158874E-05  0.1695158187399E-05
 175  0.1229129349266E-05  0.1278803762297E-05  0.1472625678221E-05  0.1666447594145E-05
 176  0.1217960114404E-05  0.1291550939102E-05  0.1481819762359E-05  0.1672088585616E-05
 177  0.1207001826106E-05  0.1281771237787E-05  0.1471565351220E-05  0.1661359464652E-05
 178  0.1193332675240E-05  0.1266314295004E-05  0.1455846052385E-05  0.1645377809767E-05
 179  0.1179929344387E-05  0.1256413212129E-05  0.1438352453564E-05  0.1620291694999E-05
 180  0.1167925920681E-05  0.1256110076072E-05  0.1429213001646E-05  0.1602315927220E-05
 181  0.1154142496377E-05  0.1241637944944E-05  0.1421725943148E-05  0.1601813941352E-05
 182  0.1138205720998E-05  0.1230167046401E-05  0.1396003583424E-05  0.1561840120447E-05
 183  0.1123813142894E-05  0.1220922771842E-05  0.1401029397538E-05  0.1581136023235E-05
 184  0.1112372816990E-05  0.1231730425772E-05  0.1434264285100E-05  0.1636798144429E-05
 185  0.1102128620534E-05  0.1220019372682E-05  0.1418413456443E-05  0.1616807540203E-05
 186  0.1091936620939E-05  0.1187099034751E-05  0.1376013197161E-05  0.1564927359571E-05
 187  0.1081487354708E-05  0.1169290348454E-05  0.1347519725952E-05  0.1525749103451E-05
 188  0.1070188651115E-05  0.1179670381447E-05  0.1353233292190E-05  0.1526796202933E-05
 189  0.1058287417876E-05  0.1149963092172E-05  0.1304422260976E-05  0.1458881429780E-05
 190  0.1046794423313E-05  0.1148481407724E-05  0.1302703445424E-05  0.1456925483125E-05
 191  0.1035382823304E-05  0.1118296760719E-05  0.1282642743087E-05  0.1446988725455E-05
 192  0.1022263684062E-05  0.1129230052826E-05  0.1293098027392E-05  0.1456966001958E-05
 193  0.1007297269716E-05  0.1138661884218E-05  0.1292660853389E-05  0.1446659822560E-05
 194  0.9939240469882E-06  0.1087078471026E-05  0.1232280921932E-05  0.1377483372838E-05
 195  0.9854009895163E-06  0.1107778252916E-05  0.1260910898823E-05  0.1414043544731E-05
 196  0.9794515457686E-06  0.1086302080835E-05  0.1236757843482E-05  0.1387213606129E-05
 197  0.9706150524885E-06  0.1085405853055E-05  0.1242877199357E-05  0.1400348545660E-05
 198  0.9579614001306E-06  0.1074929380659E-05  0.1220664901151E-05  0.1366400421643E-05
 199  0.9457695136699E-06  0.1071474184891E-05  0.1219349851030E-05  0.1367225517169E-05
 200  0.9368703839541E-06  0.1061842350458E-05  0.1215004516588E-05  0.1368166682718E-05
 201  0.9296326721652E-06  0.1075707266156E-05  0.1232983609685E-05  0.1390259953214E-05
 202  0.9209063191416E-06  0.1030136849571E-05  0.1163235633505E-05  0.1296334417438E-05
 203  0.9094499778051E-06  0.1015783694745E-05  0.1145005204555E-05  0.1274226714364E-05
 204  0.8970368886276E-06  0.1022934569693E-05  0.1181256272169E-05  0.1339577974644E-05
 205  0.8865444964732E-06  0.1000310336191E-05  0.1131544659478E-05  0.1262778982765E-05
 206  0.8784290076411E-06  0.9951831895767E-06  0.1126522593982E-05  0.1257861998387E-05
 207  0.8706438319469E-06  0.9824842930876E-06  0.1101295004069E-05  0.1220105715051E-05
 208  0.8620747794407E-06  0.9715242647870E-06  0.1095932866412E-05  0.1220341468036E-05
 209  0.8533148852968E-06  0.9542611353460E-06  0.1067066848366E-05  0.1179872561386E-05
 210  0.8446449877395E-06  0.9589176926573E-06  0.1075070678101E-05  0.1191223663545E-05
 211  0.8359671461544E-06  0.9301331242259E-06  0.1044961381448E-05  0.1159789638669E-05
 212  0.8277114224692E-06  0.9481620471221E-06  0.1071005086757E-05  0.1193848126392E-05
 213  0.8198470856315E-06  0.9242160012117E-06  0.1039227328854E-05  0.1154238656497E-05
 214  0.8112227518573E-06  0.9051118646620E-06  0.1014309037957E-05  0.1123506211252E-05
 215  0.8012576445650E-06  0.8946155459805E-06  0.1006860324349E-05  0.1119105102718E-05
 216  0.7911755510264E-06  0.8960274509617E-06  0.1005559170304E-05  0.1115090889647E-05
 217  0.7827360906721E-06  0.8870319147383E-06  0.9884173225909E-06  0.1089802730443E-05
 218  0.7761177713707E-06  0.8560182801315E-06  0.9510339959717E-06  0.1046049711812E-05
 219  0.7697105061235E-06  0.8551052121806E-06  0.9491494249912E-06  0.1043193637802E-05
 220  0.7622935931909E-06  0.8729093070968E-06  0.9695534302182E-06  0.1066197553340E-05
 221  0.7545509113847E-06  0.8702496311104E-06  0.9692397370546E-06  0.1068229842999E-05
 222  0.7474840996058E-06  0.8443739033753E-06  0.9452252332543E-06  0.1046076563133E-05
 223  0.7405227233171E-06  0.8272735579459E-06  0.9277024853015E-06  0.1028131412657E-05
 224  0.7328911486159E-06  0.8367661079273E-06  0.9303579856571E-06  0.1023949863387E-05
 225  0.7254385193683E-06  0.8134929217836E-06  0.8997745725584E-06  0.9860562233333E-06
 226  0.7189634810679E-06  0.8214583974711E-06  0.9100249867589E-06  0.9985915760467E-06
 227  0.7123687650979E-06  0.8195546206689E-06  0.9159074091823E-06  0.1012260197696E-05
 228  0.7046158872189E-06  0.8100008930717E-06  0.8982386770387E-06  0.9864764610056E-06
 229  0.6967635463056E-06  0.8071521889464E-06  0.8952603626624E-06  0.9833685363785E-06
 230  0.6899281796149E-06  0.7951333835592E-06  0.8854465149816E-06  0.9757596464041E-06
 231  0.6832161597775E-06  0.8001998549061E-06  0.8854511902183E-06  0.9707025255305E-06
 232  0.6755717769991E-06  0.7840692597760E-06  0.8681646534057E-06  0.9522600470354E-06
 233  0.6677148497816E-06  0.7767598107296E-06  0.8564663998946E-06  0.9361729890596E-06
 234  0.6605082965813E-06  0.7646361708141E-06  0.8453651656552E-06  0.9260941604964E-06
 235  0.6532475325081E-06  0.7647847748614E-06  0.8491909080168E-06  0.9335970411722E-06
 236  0.6454739912725E-06  0.7486034909316E-06  0.8279191173364E-06  0.9072347437413E-06
 237  0.6386913366534E-06  0.7389876737403E-06  0.8169149825905E-06  0.8948422914406E-06
 238  0.6339158677686E-06  0.7376467793723E-06  0.8148382483730E-06  0.8920297173738E-06
 239  0.6293550563581E-06  0.7373900466695E-06  0.8162141063785E-06  0.8950381660875E-06
 240  0.6231441482452E-06  0.7294426756866E-06  0.8024663521942E-06  0.8754900287018E-06
 241  0.6164625826724E-06  0.7337218346143E-06  0.8145907525423E-06  0.8954596704704E-06
 242  0.6111245665561E-06  0.7127095561762E-06  0.7886658816248E-06  0.8646222070735E-06
 243  0.6062185313410E-06  0.7310359256690E-06  0.8113063317252E-06  0.8915767377814E-06
 244  0.5999825513311E-06  0.7187490409938E-06  0.7991709963980E-06  0.8795929518022E-06
 245  0.5929356849128E-06  0.7034564093745E-06  0.7768842135788E-06  0.8503120177831E-06
 246  0.5866034324740E-06  0.7122390207455E-06  0.7848060791154E-06  0.8573731374854E-06
 247  0.5809024384660E-06  0.7232864637635E-06  0.8036716382362E-06  0.8840568127089E-06
 248  0.5748564361725E-06  0.7139378645714E-06  0.7892003305095E-06  0.8644627964476E-06
 249  0.5686808293039E-06  0.7121946024158E-06  0.7949332565679E-06  0.8776719107199E-06
 250  0.5632346668328E-06  0.7113262028988E-06  0.7894592998160E-06  0.8675923967332E-06
 251  0.5581532909063E-06  0.7187578533235E-06  0.7947645898486E-06  0.8707713263738E-06
 252  0.5523293863018E-06  0.7277413036240E-06  0.8109008130432E-06  0.8940603224624E-06
