#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.6469009938316E-08  0.5667768340545E-08  0.6451680100466E-08  0.7235591860388E-08
   2  0.1068582529596E-05  0.1031311781168E-05  0.1071261875999E-05  0.1111211970830E-05
   3  0.2293576810046E-05  0.2239103472070E-05  0.2300694970707E-05  0.2362286469343E-05
   4  0.1858060089776E-05  0.1820139912197E-05  0.1863274160477E-05  0.1906408408757E-05
   5  0.5928035603982E-06  0.5777730322833E-06  0.5934071757220E-06  0.6090413191607E-06
   6  0.2476951800000E-06  0.2375583487830E-06  0.2511177194470E-06  0.2646770901110E-06
   7  0.9782637066986E-06  0.9512319852918E-06  0.9861510323651E-06  0.1021070079438E-05
   8  0.1456941381801E-05  0.1413936838003E-05  0.1463169315603E-05  0.1512401793203E-05
   9  0.9477572268610E-06  0.8998841828042E-06  0.9459636832222E-06  0.9920431836403E-06
  10  0.2594882935386E-06  0.2344001901673E-06  0.2581126391368E-06  0.2818250881062E-06
  11  0.3208364477571E-06  0.3037929061880E-06  0.3273587330966E-06  0.3509245600052E-06
  12  0.7992061630350E-06  0.7642190942948E-06  0.8113179508408E-06  0.8584168073869E-06
  13  0.1030069015788E-05  0.9782827829318E-06  0.1038713020477E-05  0.1099143258022E-05
  14  0.1149064364375E-05  0.1085032601062E-05  0.1154840384023E-05  0.1224648166985E-05
  15  0.1238714636223E-05  0.1177480124417E-05  0.1243807466137E-05  0.1310134807856E-05
  16  0.9152538083463E-06  0.8625923854561E-06  0.9178647412405E-06  0.9731370970249E-06
  17  0.4585237949820E-06  0.4180229590860E-06  0.4604569594960E-06  0.5028909599060E-06
  18  0.5529149301554E-06  0.5059933362855E-06  0.5587971931855E-06  0.6116010500855E-06
  19  0.9453966169014E-06  0.8888419036513E-06  0.9544865598905E-06  0.1020131216130E-05
  20  0.1006113698616E-05  0.9468118978941E-06  0.1015723445946E-05  0.1084634993998E-05
  21  0.8553053290920E-06  0.7998653970879E-06  0.8671820172198E-06  0.9344986373517E-06
  22  0.7855051905755E-06  0.7205929889121E-06  0.7928770793747E-06  0.8651611698374E-06
  23  0.6543285347764E-06  0.5829108034774E-06  0.6533726161992E-06  0.7238344289210E-06
  24  0.4735628651003E-06  0.4117487215448E-06  0.4724164685128E-06  0.5330842154807E-06
  25  0.5554065236029E-06  0.4947537765530E-06  0.5601395524360E-06  0.6255253283191E-06
  26  0.8281016302655E-06  0.7490829904795E-06  0.8340899815992E-06  0.9190969727188E-06
  27  0.8715724553520E-06  0.7858991029887E-06  0.8727819360615E-06  0.9596647691343E-06
  28  0.6714063233346E-06  0.5955858996399E-06  0.6693198685722E-06  0.7430538375046E-06
  29  0.6195760873530E-06  0.5384626485711E-06  0.6149787536785E-06  0.6914948587859E-06
  30  0.7917620876376E-06  0.6880395675432E-06  0.7839931112476E-06  0.8799466549520E-06
  31  0.8605291839063E-06  0.7477330326362E-06  0.8491695035202E-06  0.9506059744043E-06
  32  0.7346933848268E-06  0.6339734360221E-06  0.7203370160236E-06  0.8067005960252E-06
  33  0.7053413642797E-06  0.6141843709888E-06  0.6968679997479E-06  0.7795516285070E-06
  34  0.8772487287993E-06  0.7625097830937E-06  0.8621482128421E-06  0.9617866425904E-06
  35  0.9794433405729E-06  0.8489614492854E-06  0.9576426209359E-06  0.1066323792586E-05
  36  0.8665309076204E-06  0.7348683771508E-06  0.8382839783806E-06  0.9416995796105E-06
  37  0.7691690158458E-06  0.6446832189998E-06  0.7431674963159E-06  0.8416517736320E-06
  38  0.8828451794792E-06  0.7444055861552E-06  0.8524282136083E-06  0.9604508410615E-06
  39  0.1053504947490E-05  0.9063370972696E-06  0.1023725794451E-05  0.1141114491632E-05
  40  0.1064153654480E-05  0.9205546803106E-06  0.1040109979328E-05  0.1159665278346E-05
  41  0.9773871768931E-06  0.8289046644806E-06  0.9446948762961E-06  0.1060485088112E-05
  42  0.9785237592421E-06  0.8232994199056E-06  0.9415383310144E-06  0.1059777242123E-05
  43  0.1061763476139E-05  0.9056624607810E-06  0.1028895302710E-05  0.1152128144638E-05
  44  0.1096307332135E-05  0.9330989270722E-06  0.1060116236819E-05  0.1187133546565E-05
  45  0.1072490746866E-05  0.9059570523170E-06  0.1036604902482E-05  0.1167252752647E-05
  46  0.1077900528310E-05  0.9105828399104E-06  0.1046699072457E-05  0.1182815305003E-05
  47  0.1131584572211E-05  0.9939118853061E-06  0.1130310364276E-05  0.1266708843247E-05
  48  0.1199671958078E-05  0.1042749095161E-05  0.1186722249087E-05  0.1330695403013E-05
  49  0.1278298489781E-05  0.1072110866484E-05  0.1229699212105E-05  0.1387287557726E-05
  50  0.1353945657911E-05  0.1175797579455E-05  0.1343739621525E-05  0.1511681663595E-05
  51  0.1386582607212E-05  0.1193709905686E-05  0.1359967153418E-05  0.1526224401150E-05
  52  0.1397102252258E-05  0.1232862193212E-05  0.1400086463480E-05  0.1567310733747E-05
  53  0.1455318304346E-05  0.1265823547469E-05  0.1441578070819E-05  0.1617332594168E-05
  54  0.1553050637736E-05  0.1452877252714E-05  0.1661990263393E-05  0.1871103274071E-05
  55  0.1615044765865E-05  0.1465919867643E-05  0.1661816025078E-05  0.1857712182514E-05
  56  0.1630278478523E-05  0.1475890035159E-05  0.1670006018560E-05  0.1864122001961E-05
  57  0.1647055195095E-05  0.1501140541815E-05  0.1689649322106E-05  0.1878158102397E-05
  58  0.1677246491125E-05  0.1546845684482E-05  0.1749807346306E-05  0.1952769008129E-05
  59  0.1719682963732E-05  0.1563053566171E-05  0.1776011620043E-05  0.1988969673916E-05
  60  0.1800252967870E-05  0.1648254273615E-05  0.1862609631883E-05  0.2076964990151E-05
  61  0.1886304156395E-05  0.1713245490390E-05  0.1928527275800E-05  0.2143809061211E-05
  62  0.1885369124665E-05  0.1727738262149E-05  0.1947729308058E-05  0.2167720353967E-05
  63  0.1830551589144E-05  0.1656442161424E-05  0.1874308287853E-05  0.2092174414283E-05
  64  0.1890068130937E-05  0.1693667907813E-05  0.1916245005648E-05  0.2138822103482E-05
  65  0.2075800561212E-05  0.1874728995412E-05  0.2113896737765E-05  0.2353064480119E-05
  66  0.2176558121982E-05  0.1966871237365E-05  0.2213523499874E-05  0.2460175762384E-05
  67  0.2119906580832E-05  0.1940805986312E-05  0.2186423592057E-05  0.2432041197802E-05
  68  0.2108798678428E-05  0.1900252008974E-05  0.2131907626540E-05  0.2363563244106E-05
  69  0.2244279097219E-05  0.2001536337016E-05  0.2243802555771E-05  0.2486068774527E-05
  70  0.2352834619525E-05  0.2130333501212E-05  0.2382597731090E-05  0.2634861960968E-05
  71  0.2345260053520E-05  0.2173707215436E-05  0.2448635902515E-05  0.2723564589594E-05
  72  0.2378163103767E-05  0.2163301045746E-05  0.2437875843470E-05  0.2712450641195E-05
  73  0.2511659686444E-05  0.2267875402178E-05  0.2546605044087E-05  0.2825334685996E-05
  74  0.2579001193047E-05  0.2330181544612E-05  0.2616194728333E-05  0.2902207912055E-05
  75  0.2531733267792E-05  0.2286139957453E-05  0.2563677097666E-05  0.2841214237879E-05
  76  0.2557893567125E-05  0.2305816382971E-05  0.2580693208090E-05  0.2855570033208E-05
  77  0.2723554826331E-05  0.2438644822814E-05  0.2718756073435E-05  0.2998867324057E-05
  78  0.2824378125475E-05  0.2550521884586E-05  0.2837712739982E-05  0.3124903595378E-05
  79  0.2741632224000E-05  0.2482757364802E-05  0.2769191564307E-05  0.3055625763812E-05
  80  0.2660296732123E-05  0.2386593977638E-05  0.2667111857821E-05  0.2947629738004E-05
  81  0.2762681488284E-05  0.2450669895336E-05  0.2735814126429E-05  0.3020958357521E-05
  82  0.2937462670088E-05  0.2619077095204E-05  0.2918175115929E-05  0.3217273136654E-05
  83  0.2981775697010E-05  0.2677449120044E-05  0.2981032598460E-05  0.3284616076876E-05
  84  0.2919175802589E-05  0.2613336081097E-05  0.2915745557167E-05  0.3218155033237E-05
  85  0.2918514983550E-05  0.2588451652859E-05  0.2891451222826E-05  0.3194450792794E-05
  86  0.3006289311370E-05  0.2653009166216E-05  0.2963643324142E-05  0.3274277482069E-05
  87  0.3055199417762E-05  0.2717470910224E-05  0.3038661007092E-05  0.3359851103961E-05
  88  0.3013322181279E-05  0.2701734690084E-05  0.3026510151940E-05  0.3351285613795E-05
