#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.6469009938316E-08  0.5662455083291E-08  0.6447276457612E-08  0.7232097831933E-08
   2  0.1068582529596E-05  0.1029376143358E-05  0.1070179889961E-05  0.1110983636564E-05
   3  0.2293576810046E-05  0.2233181553485E-05  0.2295917565196E-05  0.2358653576907E-05
   4  0.1858060089776E-05  0.1815220031578E-05  0.1859496342554E-05  0.1903772653530E-05
   5  0.5928035603982E-06  0.5767671268447E-06  0.5934117192193E-06  0.6100563115938E-06
   6  0.2476951800000E-06  0.2353501572744E-06  0.2478126712125E-06  0.2602751851507E-06
   7  0.9782637066986E-06  0.9432610105631E-06  0.9790040717390E-06  0.1014747132915E-05
   8  0.1456941381801E-05  0.1406281405606E-05  0.1457996465177E-05  0.1509711524749E-05
   9  0.9477572268610E-06  0.9000961805093E-06  0.9485017397061E-06  0.9969072989029E-06
  10  0.2594882935386E-06  0.2348533647134E-06  0.2595196929167E-06  0.2841860211200E-06
  11  0.3208364477571E-06  0.2967530264649E-06  0.3208581489712E-06  0.3449632714776E-06
  12  0.7992061630350E-06  0.7512180624275E-06  0.8001131223558E-06  0.8490081822841E-06
  13  0.1030069015788E-05  0.9688171660694E-06  0.1031358904085E-05  0.1093900642101E-05
  14  0.1149064364375E-05  0.1077553924272E-05  0.1150522507163E-05  0.1223491090054E-05
  15  0.1238714636223E-05  0.1169770899335E-05  0.1241064745001E-05  0.1312358590666E-05
  16  0.9152538083463E-06  0.8603180843410E-06  0.9187394640696E-06  0.9771608437983E-06
  17  0.4585237949820E-06  0.4171683797162E-06  0.4611109122371E-06  0.5050534447580E-06
  18  0.5529149301554E-06  0.4977350274106E-06  0.5527336563948E-06  0.6077322853790E-06
  19  0.9453966169014E-06  0.8740747462391E-06  0.9449867266831E-06  0.1015898707127E-05
  20  0.1006113698616E-05  0.9344517138670E-06  0.1009556126228E-05  0.1084660538589E-05
  21  0.8553053290920E-06  0.7881150514148E-06  0.8605146094586E-06  0.9329141675024E-06
  22  0.7855051905755E-06  0.7103666084332E-06  0.7864950560231E-06  0.8626235036131E-06
  23  0.6543285347764E-06  0.5775539543379E-06  0.6515210330269E-06  0.7254881117159E-06
  24  0.4735628651003E-06  0.4088015928944E-06  0.4740365997112E-06  0.5392716065280E-06
  25  0.5554065236029E-06  0.4894863899350E-06  0.5606212135744E-06  0.6317560372138E-06
  26  0.8281016302655E-06  0.7420018042197E-06  0.8324501471472E-06  0.9228984900747E-06
  27  0.8715724553520E-06  0.7804971057527E-06  0.8724887387701E-06  0.9644803717876E-06
  28  0.6714063233346E-06  0.5926892384262E-06  0.6716535719858E-06  0.7506179055453E-06
  29  0.6195760873530E-06  0.5366340253982E-06  0.6210233955995E-06  0.7054127658009E-06
  30  0.7917620876376E-06  0.6887370812645E-06  0.7944728264415E-06  0.9002085716184E-06
  31  0.8605291839063E-06  0.7541804529502E-06  0.8641586962077E-06  0.9741369394652E-06
  32  0.7346933848268E-06  0.6454443483254E-06  0.7382334407942E-06  0.8310225332631E-06
  33  0.7053413642797E-06  0.6181715801233E-06  0.7081750233905E-06  0.7981784666577E-06
  34  0.8772487287993E-06  0.7729404909728E-06  0.8809187642607E-06  0.9888970375486E-06
  35  0.9794433405729E-06  0.8660952700810E-06  0.9851574363450E-06  0.1104219602609E-05
