#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
   1  0.6469009938316E-08  0.5519850068325E-08  0.6171215707395E-08  0.6822581346465E-08
   2  0.1068582529596E-05  0.1046616222253E-05  0.1083235896890E-05  0.1119855571527E-05
   3  0.2293576810046E-05  0.2259252928750E-05  0.2315859466320E-05  0.2372466003890E-05
   4  0.1858060089776E-05  0.1833003215589E-05  0.1872770630433E-05  0.1912538045277E-05
   5  0.5928035603982E-06  0.5817499049986E-06  0.5966748696226E-06  0.6115998342467E-06
   6  0.2476951800000E-06  0.2340250754083E-06  0.2447823812968E-06  0.2555396871853E-06
   7  0.9782637066986E-06  0.9412871185530E-06  0.9712891214656E-06  0.1001291124378E-05
   8  0.1456941381801E-05  0.1403969266992E-05  0.1447999908302E-05  0.1492030549612E-05
   9  0.9477572268610E-06  0.9009051609010E-06  0.9425598544148E-06  0.9842145479285E-06
  10  0.2594882935386E-06  0.2371040351954E-06  0.2584279200386E-06  0.2797518048817E-06
  11  0.3208364477571E-06  0.2904381777930E-06  0.3120268411408E-06  0.3336155044885E-06
  12  0.7992061630350E-06  0.7221498879443E-06  0.7699305100350E-06  0.8177111321257E-06
  13  0.1030069015788E-05  0.9293062011717E-06  0.9909516560600E-06  0.1052597110948E-05
  14  0.1149064364375E-05  0.1070859645954E-05  0.1132314429180E-05  0.1193769212406E-05
  15  0.1238714636223E-05  0.1190593778433E-05  0.1249233561775E-05  0.1307873345116E-05
  16  0.9152538083463E-06  0.8639495865518E-06  0.9124101186155E-06  0.9608706506792E-06
  17  0.4585237949820E-06  0.3704275243338E-06  0.4183990023043E-06  0.4663704802747E-06
  18  0.5529149301554E-06  0.4473101589484E-06  0.5045832679385E-06  0.5618563769286E-06
  19  0.9453966169014E-06  0.8518508487196E-06  0.9129292419208E-06  0.9740076351220E-06
  20  0.1006113698616E-05  0.9032327457363E-06  0.9688846293110E-06  0.1034536512886E-05
  21  0.8553053290920E-06  0.7128964400398E-06  0.7885853573337E-06  0.8642742746277E-06
  22  0.7855051905755E-06  0.6114926290793E-06  0.6984637784640E-06  0.7854349278487E-06
  23  0.6543285347764E-06  0.4895232694595E-06  0.5720192352202E-06  0.6545152009809E-06
  24  0.4735628651003E-06  0.3303699181158E-06  0.4007999348884E-06  0.4712299516610E-06
  25  0.5554065236029E-06  0.3963347998080E-06  0.4725445252727E-06  0.5487542507373E-06
  26  0.8281016302655E-06  0.6211736561636E-06  0.7196290642188E-06  0.8180844722740E-06
  27  0.8715724553520E-06  0.6371299070965E-06  0.7452209062784E-06  0.8533119054604E-06
  28  0.6714063233346E-06  0.4419989576112E-06  0.5440088170998E-06  0.6460186765883E-06
  29  0.6195760873530E-06  0.3948918694226E-06  0.4940924213307E-06  0.5932929732387E-06
  30  0.7917620876376E-06  0.5540974504021E-06  0.6623235720090E-06  0.7705496936159E-06
  31  0.8605291839063E-06  0.6134223314602E-06  0.7266340554569E-06  0.8398457794535E-06
  32  0.7346933848268E-06  0.4838910342310E-06  0.5918521844500E-06  0.6998133346690E-06
  33  0.7053413642797E-06  0.4229079794217E-06  0.5391038478101E-06  0.6552997161984E-06
  34  0.8772487287993E-06  0.5499863208121E-06  0.6854858774128E-06  0.8209854340135E-06
  35  0.9794433405729E-06  0.6384742047121E-06  0.7814482649925E-06  0.9244223252730E-06
  36  0.8665309076204E-06  0.5385457162857E-06  0.6747005871894E-06  0.8108554580931E-06
  37  0.7691690158458E-06  0.4296357975197E-06  0.5652122416081E-06  0.7007886856965E-06
  38  0.8828451794792E-06  0.4819995569882E-06  0.6390015609266E-06  0.7960035648650E-06
  39  0.1053504947490E-05  0.5919817772023E-06  0.7727270666847E-06  0.9534723561672E-06
  40  0.1064153654480E-05  0.5918029405693E-06  0.7775269586395E-06  0.9632509767097E-06
  41  0.9773871768931E-06  0.5201526057610E-06  0.6979751756455E-06  0.8757977455301E-06
  42  0.9785237592421E-06  0.5003376917410E-06  0.6822465144361E-06  0.8641553371313E-06
  43  0.1061763476139E-05  0.5243578108700E-06  0.7264273844103E-06  0.9284969579507E-06
  44  0.1096307332135E-05  0.5206942438009E-06  0.7355921707601E-06  0.9504900977193E-06
  45  0.1072490746866E-05  0.5018358858680E-06  0.7122671699045E-06  0.9226984539411E-06
